time,rr
1714325929930016672,-35
1714325930491146055,49
1714325931052244916,65
1714325931613374295,117
1714325932174473156,58
1714325932735602535,14
1714325933296726831,230
1714325933857830775,58
1714325934418960158,-11
1714325934980069193,-58
1714325935541188398,23
1714325936102317777,77
1714325936663416638,54
1714325937224546017,70
1714325937785644882,37
1714325938346774261,37
1714325938907903640,195
1714325939469022849,16
1714325940030131880,32
1714325940591291781,37
1714325941152390642,47
1714325941713499677,28
1714325942274618882,364
1714325942835748261,16
1714325943396877640,56
1714325943958007019,70
1714325944519110971,25
1714325945080235263,199
1714325945641364642,63
1714325946202463503,4
1714325946763592882,244
1714325947324722261,108
1714325947885851644,-39
1714325948446960679,261
1714325949008079884,65
1714325949569209263,14
1714325950130338642,91
1714325950691468021,56
1714325951252597404,35
1714325951813726783,122
1714325952374840905,-23
1714325952935975371,35
1714325953497109837,14
1714325954058213781,-51
1714325954619343164,-9
1714325955180472543,47
1714325955741601922,-11
1714325956302731301,105
1714325956863855597,47
1714325957424959543,42
1714325957986088924,2
1714325958547218303,103
1714325959108317164,0
1714325959669446543,58
1714325960230545404,58
1714325960791674787,11
1714325961352773648,65
1714325961913903027,-75
1714325962475017149,18
1714325963036131267,-11
1714325963597260646,209
1714325964158359507,1232
1714325964719488890,44
1714325965280618269,-23
1714325965841717130,1110
1714325966402846509,87
